?,power.r2,power.r3,power.r4,power.r5,?,power.r2,power.r3,power.r4,power.r5,?,power.r2,power.r3,power.r4,power.r5
0,0.05,0.05,0.05,0.05,0,0.05,0.05,0.05,0.05,0,0.05,0.05,0.05,0.05
1,0.051,0.054,0.054,0.059,1,0.051,0.052,0.053,0.056,1,0.051,0.052,0.053,0.056
2,0.065,0.059,0.066,0.067,2,0.054,0.06,0.064,0.065,2,0.057,0.06,0.063,0.069
3,0.078,0.078,0.085,0.088,3,0.062,0.07,0.08,0.083,3,0.068,0.075,0.077,0.079
4,0.101,0.103,0.113,0.116,4,0.082,0.088,0.098,0.103,4,0.089,0.096,0.099,0.106
5,0.126,0.129,0.147,0.155,5,0.093,0.115,0.124,0.129,5,0.093,0.131,0.134,0.139
6,0.168,0.164,0.187,0.207,6,0.118,0.144,0.16,0.173,6,0.118,0.162,0.172,0.184
7,0.211,0.212,0.248,0.27,7,0.139,0.181,0.188,0.209,7,0.14,0.2,0.212,0.254
8,0.259,0.265,0.304,0.342,8,0.158,0.226,0.244,0.254,8,0.172,0.249,0.259,0.301
9,0.325,0.323,0.369,0.403,9,0.185,0.279,0.301,0.306,9,0.197,0.313,0.324,0.354
10,0.385,0.385,0.456,0.48,10,0.218,0.335,0.354,0.361,10,0.246,0.378,0.389,0.406
11,0.441,0.461,0.531,0.54,11,0.267,0.399,0.406,0.417,11,0.293,0.443,0.465,0.487
12,0.525,0.52,0.611,0.625,12,0.312,0.451,0.458,0.481,12,0.33,0.51,0.531,0.549
13,0.588,0.611,0.666,0.677,13,0.349,0.503,0.513,0.535,13,0.377,0.597,0.598,0.602
14,0.649,0.692,0.732,0.749,14,0.389,0.56,0.567,0.584,14,0.419,0.652,0.661,0.67
15,0.712,0.758,0.777,0.798,15,0.434,0.614,0.623,0.656,15,0.459,0.712,0.714,0.734
16,0.771,0.803,0.822,0.847,16,0.474,0.662,0.672,0.699,16,0.5,0.764,0.77,0.788
17,0.829,0.849,0.869,0.881,17,0.514,0.709,0.713,0.747,17,0.546,0.81,0.811,0.849
18,0.872,0.892,0.9,0.914,18,0.555,0.76,0.768,0.786,18,0.584,0.847,0.863,0.886
19,0.898,0.923,0.926,0.938,19,0.596,0.793,0.8,0.824,19,0.626,0.881,0.89,0.925
20,0.921,0.946,0.9607,0.96,20,0.631,0.832,0.839,0.86,20,0.666,0.911,0.923,0.948
21,0.942,0.964,0.969,0.973,21,0.678,0.852,0.871,0.892,21,0.7,0.931,0.942,0.962
22,0.959,0.974,0.98,0.982,22,0.712,0.881,0.896,0.921,22,0.737,0.948,0.951,0.972
23,0.968,0.986,0.986,0.991,23,0.755,0.899,0.913,0.933,23,0.771,0.966,0.97,0.986
24,0.976,0.99,0.992,0.998,24,0.797,0.917,0.932,0.95,24,0.793,0.973,0.98,0.995
25,0.986,0.991,0.995,1,25,0.819,0.929,0.946,0.961,25,0.819,0.979,0.985,0.997
26,0.988,0.995,0.997,1,26,0.855,0.947,0.961,0.969,26,0.843,0.987,0.989,0.998
27,0.988,0.997,0.997,1,27,0.882,0.96,0.97,0.974,27,0.864,0.991,0.994,0.999
28,0.994,0.997,0.998,1,28,0.899,0.969,0.976,0.979,28,0.894,0.993,0.995,0.999
29,0.996,0.999,1,1,29,0.914,0.977,0.981,0.984,29,0.909,0.993,0.996,0.999
30,0.997,1,1,1,30,0.931,0.982,0.989,0.994,30,0.925,0.995,0.999,1
